station,date,nhrh_pred_lwmwet_1_tot
GVNI4,2020-04-23,480
OSTI4,2020-04-24,600
BNKI4,2020-04-24,960
AHTI4,2020-04-24,540
GVNI4,2020-04-24,120
GVNI4,2020-04-25,300
BNKI4,2020-04-25,240
OSTI4,2020-04-25,540
AHTI4,2020-04-25,480
BNKI4,2020-04-26,0
OSTI4,2020-04-26,180
AHTI4,2020-04-26,60
GVNI4,2020-04-26,420
BNKI4,2020-04-27,0
AHTI4,2020-04-27,0
GVNI4,2020-04-27,0
OSTI4,2020-04-27,0
BNKI4,2020-04-28,660
GVNI4,2020-04-28,0
OSTI4,2020-04-28,0
AHTI4,2020-04-28,60
AHTI4,2020-04-29,0
GVNI4,2020-04-29,0
OSTI4,2020-04-29,0
BNKI4,2020-04-29,780
AHTI4,2020-04-30,0
OSTI4,2020-04-30,0
BNKI4,2020-04-30,0
GVNI4,2020-04-30,0
AHTI4,2020-05-01,0
BNKI4,2020-05-01,0
OSTI4,2020-05-01,0
GVNI4,2020-05-01,0
GVNI4,2020-05-02,0
BNKI4,2020-05-02,0
OSTI4,2020-05-02,0
AHTI4,2020-05-02,0
GVNI4,2020-05-03,0
OSTI4,2020-05-03,0
BNKI4,2020-05-03,0
AHTI4,2020-05-03,0
OSTI4,2020-05-04,0
AHTI4,2020-05-04,0
GVNI4,2020-05-04,0
BNKI4,2020-05-04,0
OSTI4,2020-05-05,1380
AHTI4,2020-05-05,900
GVNI4,2020-05-05,780
BNKI4,2020-05-05,900
OSTI4,2020-05-06,900
BNKI4,2020-05-06,840
GVNI4,2020-05-06,300
AHTI4,2020-05-06,660
GVNI4,2020-05-07,0
BNKI4,2020-05-07,180
AHTI4,2020-05-07,180
OSTI4,2020-05-07,240
GVNI4,2020-05-08,480
AHTI4,2020-05-08,0
BNKI4,2020-05-08,0
OSTI4,2020-05-08,0
GVNI4,2020-05-09,0
AHTI4,2020-05-09,0
OSTI4,2020-05-09,0
BNKI4,2020-05-09,0
OSTI4,2020-05-10,0
GVNI4,2020-05-10,0
BNKI4,2020-05-10,600
AHTI4,2020-05-10,0
GVNI4,2020-05-11,0
AHTI4,2020-05-11,0
BNKI4,2020-05-11,0
OSTI4,2020-05-11,0
BNKI4,2020-05-12,0
GVNI4,2020-05-12,0
OSTI4,2020-05-12,0
AHTI4,2020-05-12,0
OSTI4,2020-05-13,0
BNKI4,2020-05-13,0
AHTI4,2020-05-13,120
GVNI4,2020-05-13,420
BNKI4,2020-05-14,1200
AHTI4,2020-05-14,1080
OSTI4,2020-05-14,1380
GVNI4,2020-05-14,1380
OSTI4,2020-05-15,780
AHTI4,2020-05-15,540
GVNI4,2020-05-15,300
BNKI4,2020-05-15,780
BNKI4,2020-05-16,180
AHTI4,2020-05-16,360
GVNI4,2020-05-16,0
OSTI4,2020-05-16,300
GVNI4,2020-05-17,600
OSTI4,2020-05-17,960
AHTI4,2020-05-17,540
BNKI4,2020-05-17,1080
BNKI4,2020-05-18,1440
OSTI4,2020-05-18,900
AHTI4,2020-05-18,420
GVNI4,2020-05-18,120
OSTI4,2020-05-19,960
AHTI4,2020-05-19,240
GVNI4,2020-05-19,420
BNKI4,2020-05-19,1440
OSTI4,2020-05-20,960
AHTI4,2020-05-20,600
BNKI4,2020-05-20,900
GVNI4,2020-05-20,420
GVNI4,2020-05-21,720
OSTI4,2020-05-21,960
AHTI4,2020-05-21,0
BNKI4,2020-05-21,480
AHTI4,2020-05-22,420
BNKI4,2020-05-22,900
OSTI4,2020-05-22,840
GVNI4,2020-05-22,600
GVNI4,2020-05-23,660
BNKI4,2020-05-23,540
AHTI4,2020-05-23,360
OSTI4,2020-05-23,600
OSTI4,2020-05-24,600
BNKI4,2020-05-24,960
AHTI4,2020-05-24,660
GVNI4,2020-05-24,300
OSTI4,2020-05-25,660
AHTI4,2020-05-25,660
GVNI4,2020-05-25,1380
BNKI4,2020-05-25,840
OSTI4,2020-05-26,900
BNKI4,2020-05-26,540
AHTI4,2020-05-26,900
GVNI4,2020-05-26,1380
AHTI4,2020-05-27,360
OSTI4,2020-05-27,960
GVNI4,2020-05-27,1380
BNKI4,2020-05-27,420
AHTI4,2020-05-28,660
GVNI4,2020-05-28,780
OSTI4,2020-05-28,1260
BNKI4,2020-05-28,1260
GVNI4,2020-05-29,0
BNKI4,2020-05-29,360
OSTI4,2020-05-29,0
AHTI4,2020-05-29,0
