station,valid,in_high,in_low,in_rh_min,in_rh,in_rh_max,in_solar_mj,in_precip,in_speed,in_gust,in_et,out_lwmv_1,out_lwmv_2,out_lwmdry_1_tot,out_lwmcon_1_tot,out_lwmwet_1_tot,out_lwmdry_2_tot,out_lwmcon_2_tot,out_lwmwet_2_tot,out_bpres_avg
BNKI4,2020-01-25,33.8414,27.5395999999999,87.7,94.6416673660278,99.4,3544,0.07,1.3287423,6.9859633,0.0149212578740158,2158,277.7,0,0,1440,0,1419,21.5,597.7
GVNI4,2020-01-25,28.9094,20.8471999999999,83,93.3416665395101,99.3,9.08,0,3.8766172,9.339225,0.0272834645669291,167.1,281,1440,0,0,210,1230,0,606.6
BNKI4,2020-01-26,30.5888,24.5335999999999,80.9,93.4958337148031,99.4,5521,0.010000001,0.93951476,6.8696427,0.0161023637795276,2128,274.9,0,0,1440,14.5,1426,0,601.4
AHTI4,2020-01-26,31.5283999999999,18.7897999999999,94.6,97.3833325703939,98.6,4823,0,3.0735555,8.314706,0.0110236220472441,277.6,280.3,0,1302,138,0,1145,294.8,1017
GVNI4,2020-01-26,40.5517999999999,27.3344,74.33,93.7908341089885,99.5,8.37,0,3.0847402,7.9500847,0.0233070893700788,198.1,338.2,1440,0,0,147.3,655.3,637.5,602.8
OSTI4,2020-01-26,30.4196,17.9924,99.2,99.2249984741211,99.3,4834,0,3.1719809,9.222904,0.0110236232283465,277.4,278.8,0,755.5,684.5,0,718,722,726
AHTI4,2020-01-27,30.9164,23.1565999999999,86.3,96.2125005722046,99.6,4592,0,3.8542478,11.734987,0.0135826748031496,279.5,278.2,0,1385,55.25,0,838,602.3,1020
OSTI4,2020-01-27,32.0737999999999,26.0203999999999,89.7,96.5041672388713,99.3,4365,0.020000001,2.7111714,8.052984,0.0132677157480315,276.1,277.5,0,1440,0,0,1415,25.5,706.6
BNKI4,2020-01-27,31.7551999999999,24.9638,85.7,94.1708335876465,99.4,4.74,0.030000001,1.0021491,5.1293035,0.0130314948818898,2064,275.3,0,0,1440,211.8,1228,0,600.9
GVNI4,2020-01-27,35.2885999999999,26.7000000799999,86.1,90.5208339691162,95.2,3014,0,4.4671693,11.808805,0.01440945,161.6,276.1,1440,0,0,0,1275,165.5,602.8
OSTI4,2020-01-28,26.1446,17.4919999999999,90.5,96.9166653951009,99.3,5705,0,3.5589714,9.645685,0.0127165346456693,276.5,278.2,0,1440,0,0,1440,0,737.4
BNKI4,2020-01-28,26.9888,21.3529999999999,88.8,94.3250001271566,99.4,3059,0,1.194526,6.109083,0.00992125984251969,2242,275,0,0,1440,271,1169,0,604.1
GVNI4,2020-01-28,30.8174,24.0206,89.3,93.8541666666667,98.7,3276,0,3.4426508,9.368305,0.013346457480315,163.7,277.2,1440,0,0,0,1440,0,606.6
AHTI4,2020-01-28,23.3096,16.5199999999999,91.6,95.1375001271566,97.6,5114,0,3.887802,9.323566,0.0127952763779528,280.1,279.5,0,1210,230.3,0,910,530,1023
AHTI4,2020-01-29,23.2106,16646,77.32,87.1499996185303,95.6,6756,0.010000001,2.049037,6.3864636,0.0179921279527559,278.3,277,0,1440,0,0,1440,0,1024
OSTI4,2020-01-29,23.6786,17.2579999999999,81.7,93.7874987920125,99.3,6.36,0.030000001,1.4383525,5.319443,0.0141732283464567,275.4,276.8,155.5,1285,0,0,1440,0,737.7
BNKI4,2020-01-29,26.8051999999999,22.1539999999999,87,90.1666669845581,94.6,3165,0,0.894776,4.487302,0.0131496062992126,2238,275.6,0,0,1440,12.25,1428,0,604
GVNI4,2020-01-29,30.8749999999999,25.5541999999999,84.1,91.1083335876465,96.6,4.35,0,2.1541731,7.337163,0.0171259842519685,162.3,276.9,1440,0,0,0,1226,213.8,606.7
OSTI4,2020-01-30,31.3987999999999,20.8687999999999,78.11,87.4116665522258,92.7,7.88,0,0.9059607,7.1604447,0.0183070866141732,275.4,276.8,423.5,1017,0,65.25,1375,0,723
AHTI4,2020-01-30,28.9562,19.0813999999999,85.1,89.9750010172526,91.8,5938,0,4.829553,11.954207,0.0172834625984252,279,277.6,0,1440,0,0,1440,0,1023
GVNI4,2020-01-30,35105,28.6232,84.5,91.4208335876465,96.2,4796,0,5.480503,14.365628,0.0211810972440945,161.6,276.8,1440,0,0,0,1440,0,604.7
BNKI4,2020-01-30,28.5169999999999,24.2869999999999,85.4,90.9833335876465,99.4,3922,0,1.8633710000000001,8.095486,0.016220468503937,2171,274.3,0,0,1440,70,1370,0,602.8
GVNI4,2020-01-31,35.2274,31.5463999999999,87.7,94.3999999364217,99.4,2431,0,4.480591,13.855606,0.0119291326771654,160.9,276.1,1440,0,0,0,1178,261.8,603.2
BNKI4,2020-01-31,32.7973999999999,25331,93,97.8416678110759,99.4,4937,0.010000001,2.2145705,8.988026,0.0172440952755906,1975,277.6,0,0,1440,67.25,1373,0,600.5
OSTI4,2020-01-31,37.7708,26.8213999999999,81.6,91.3583326339722,99.3,7274,0,1.190052,7.073204,0.0245669212598425,278.8,314.2,239,1201,0,0,1090,350.5,694.2
AHTI4,2020-01-31,35.6323999999999,27.6169999999999,87.5,93.6166664759318,98.6,4947,0.020000001,4.435852,11.764067,0.0192913385826772,307.5,315.7,0,974,466.3,0,1150,289.8,1019
BNKI4,2020-02-01,36.7628,31.8164,79.91,91.7545839945475,99.4,8.21,0.2,2.8118336,12.875827,0.0314960681102362,2017,274.9,0,0,1440,33.25,866,540.8,592.4
GVNI4,2020-02-01,46.3657999999999,25.59999992,60.39,78.6095832188924,92.5,11.89,0,5.3843145,11.734987,0.059251968503937,157.5,274,1440,0,0,496.3,848,95.5,595.2
AHTI4,2020-02-01,40.4096,30.8551999999999,66.14,84.2904163996379,99.6,11.01,0,6.185139,16.135048,0.0471259803149606,277.9,276.9,20.75,1037,382.3,321.3,909,209.8,1014
OSTI4,2020-02-01,38.60000006,32.6876,66.41,84.952917098999,99.3,10.31,0,7.99035,16.953768,0.0480708700787402,274.7,276,353.3,1087,0,27,1158,255,677.4
BNKI4,2020-02-02,43.9412,32.3725999999999,66.78,79.8520832061768,92.3,8.12,0,2.2078598,10.580727,0.0373622070866142,2063,311.4,0,0,1440,74.75,1307,58.25,584
OSTI4,2020-02-02,54824,29.9875999999999,42.97,65.8904166221619,87.7,11.76,0,4.212158,15.54897,0.0750787401574803,288.3,297.2,745.3,665.8,29,497.3,898,44.75,655.4
AHTI4,2020-02-02,48164,27.1778,56.53,73875,92.6,12.18,0,4.4246674,14.584848,0.0659448858267717,282.4,313,144.3,1098,198,300.8,922,217.5,1008
GVNI4,2020-02-02,61.3579999999999,35.9635999999999,41.73,61.3237497011821,78.68,12.23,0,5.5051093,16.17755,0.0876771653543307,158.9,274.1,1440,0,0,1165,275,0,571.2
GVNI4,2020-02-03,36.0859999999999,27.3956,61.5,78.9750003814697,91.5,4252,0,10.752971,23.286545,0.0363779488188976,161,273.5,1440,0,0,591,849,0,601.5
AHTI4,2020-02-03,34.4084,26.3407999999999,66.87,82.2358328501384,97.1,5827,0,9.755296,20.221937,0.0344094527559055,276.9,275.5,0,1154,286,0,1403,37,1012
OSTI4,2020-02-03,38.39,28.4125999999999,72.99,87.3125,99.2,9.18,0,6.9345136,16.25137,0.0365354291338583,274,275.7,502.8,874,63,0,1339,100.8,687.3
BNKI4,2020-02-03,40.3825999999999,28.5854,57.15,80.3000009854635,99.4,11.18,0,3.357647,10.902845,0.0508661496062992,2006,272.1,0,0,1440,549.8,360.5,529.8,588.2
AHTI4,2020-02-04,28.0381999999999,17.3839999999999,56.89,65.7291669845581,72.14,8.08,0,9.4958105,19.841658,0.0474409527559055,276.9,275.5,0,1440,0,0,1440,0,1023
GVNI4,2020-02-04,28.0723999999999,19.9274,46.51,60.3687499364217,71.71,6383,0,8.200622,20.1772,0.0516929133858268,162.7,272.9,1440,0,0,1440,0,0,606.9
OSTI4,2020-02-04,32.1961999999999,23.0774,54.03,64.6004166603088,73.86,7676,0,7.7219167,16.164127,0.0523622007874016,273.1,274.8,1272,168.5,0,171.5,1269,0,715.7
BNKI4,2020-02-04,32.8604,20.4385999999999,39.08,52.6566672325134,62.43,8.92,0,3.6596339,11.573927,0.0521259842519685,2366,268.9,0,0,1440,1440,0,0,599.8
